District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Bangalore Urban,Garlic,Tube Well,11609.330885810616,11335.919980150127
Bangalore Rural,Gram,Drip Irrigation,12648.406038302792,12091.900253943171
Mysore,Guava,Canal Irrigation,10063.162447916591,9810.943168837392
Tumkur,Barley,Sprinkler Irrigation,10110.539993326256,10754.217313163708
Belgaum,Gram,Canal Irrigation,9320.45101775053,8695.537818813737
Gulbarga,Bajra,Tube Well,13707.248507009224,13088.40603512336
Hubli,Gram,Tube Well,6419.276991936418,6685.757927114612
Mangalore,Gram,Tube Well,9289.883923057483,9468.516256279372
Bijapur,Pulses,Tube Well,6437.159656087371,6909.587516713526
Raichur,Citrus,Tube Well,15661.876221224187,16224.039215387857
Shimoga,Opium,Sprinkler Irrigation,10553.033527645484,9809.797091748638
Udupi,Fenugreek,Canal Irrigation,9733.308655797786,9502.633933285197
Dharwad,Opium,Sprinkler Irrigation,7811.486749531211,8738.673824890717
Bellary,Tomato,Sprinkler Irrigation,6562.789955907221,6767.8388552599845
Chitradurga,Sugarcane,Canal Irrigation,13435.987795036868,14307.01194996194
Bangalore Urban,Bajra,Sprinkler Irrigation,11392.330625198285,10973.489616156785
Bangalore Rural,Fenugreek,Sprinkler Irrigation,14439.690538574308,14739.863314188262
Mysore,Chilli,Canal Irrigation,9909.752939787137,10431.30298945327
Tumkur,Onion,Tube Well,12835.02600869453,13622.75801145037
Belgaum,Sugarcane,Tube Well,11629.659341985467,11675.119314403872
Gulbarga,Pomegranate,Sprinkler Irrigation,6516.406866225762,5629.616414816876
Hubli,Oilseeds,Canal Irrigation,12487.54016587375,11780.396946155142
Mangalore,Opium,Canal Irrigation,8902.221311781012,8984.565486647485
Bijapur,Tomato,Drip Irrigation,10033.949035638458,10385.001062677577
Raichur,Maize,Tube Well,5680.971783779863,6249.586129521636
Shimoga,Opium,Drip Irrigation,14601.97345705037,14377.082754334351
Udupi,Garlic,Drip Irrigation,7218.003497841976,6720.685754586588
Dharwad,Tomato,Sprinkler Irrigation,15963.099655793849,16372.357793579424
Bellary,Cumin,Sprinkler Irrigation,13257.570180740451,14186.149826992512
Chitradurga,Tomato,Sprinkler Irrigation,14120.947084017454,13269.88507210464
Bangalore Urban,Chilli,Drip Irrigation,10153.058292675343,10010.073921476813
Bangalore Rural,Cotton,Sprinkler Irrigation,6723.227424893816,7415.255817074856
Mysore,Mango,Tube Well,12977.27773757686,12286.889133173432
Tumkur,Mango,Drip Irrigation,13618.186915349524,13868.92024046748
Belgaum,Onion,Canal Irrigation,7361.595151100787,7776.958273889738
Gulbarga,Maize,Sprinkler Irrigation,13634.279339771629,14206.795818446342
Hubli,Citrus,Tube Well,7095.432378887967,6537.828541090872
Mangalore,Fenugreek,Canal Irrigation,8522.56991173552,8109.718626075927
Bijapur,Chilli,Tube Well,14931.395817121758,15578.772618972163
Raichur,Gram,Canal Irrigation,8239.982405328281,9048.975322303666
Shimoga,Coriander,Sprinkler Irrigation,13613.70107747452,13978.803799011575
Udupi,Pomegranate,Drip Irrigation,9085.174931130705,9165.649557015828
Dharwad,Wheat,Canal Irrigation,10071.739448849285,10089.210634854711
Bellary,Barley,Canal Irrigation,14299.119224990502,13684.144000857856
Chitradurga,Mustard,Drip Irrigation,6889.199378585089,7801.751791531888
Bangalore Urban,Garlic,Drip Irrigation,12947.546168249088,12369.109118120135
Bangalore Rural,Fenugreek,Tube Well,13521.265671888106,12932.424807851938
Mysore,Fennel,Drip Irrigation,12710.18554630436,12017.69470073965
Tumkur,Opium,Canal Irrigation,6133.059552617516,5279.555610936549
Belgaum,Cotton,Drip Irrigation,11348.080971156303,10803.372241039617
Gulbarga,Citrus,Tube Well,10890.190634568977,10699.086675977527
Hubli,Wheat,Tube Well,11013.95655402179,11083.625294143794
Mangalore,Mustard,Drip Irrigation,11497.93256942712,10643.111459025076
Bijapur,Gram,Canal Irrigation,12684.691865658902,12287.393285348644
Raichur,Sugarcane,Tube Well,8163.199520499352,8807.44426081746
Shimoga,Onion,Sprinkler Irrigation,9916.312265891533,9189.075186550626
Udupi,Garlic,Canal Irrigation,13943.963481004028,13232.114555920994
Dharwad,Wheat,Sprinkler Irrigation,7730.729879518505,6740.789557666515
Bellary,Pomegranate,Drip Irrigation,8971.757271053142,9468.350444518728
Chitradurga,Bajra,Tube Well,14424.594625033218,15127.51232771632
Bangalore Urban,Oilseeds,Sprinkler Irrigation,8666.711731395135,9336.20846513126
Bangalore Rural,Gram,Sprinkler Irrigation,11873.42203702272,12008.00732596832
Mysore,Garlic,Tube Well,12262.89999826493,11409.18914258203
Tumkur,Cotton,Drip Irrigation,7696.485269314778,7857.676576132166
Belgaum,Guava,Sprinkler Irrigation,12361.200413289487,11830.26611078133
Gulbarga,Coriander,Drip Irrigation,13279.315411497582,12914.887285965033
Hubli,Mango,Canal Irrigation,9255.73704320351,8560.526967311776
Mangalore,Guava,Canal Irrigation,14431.507674880544,13768.786696692505
Bijapur,Maize,Sprinkler Irrigation,14175.39300940438,14457.070098084112
Raichur,Guava,Sprinkler Irrigation,13238.444726642763,12901.570627237445
Shimoga,Tomato,Tube Well,10119.608326045878,9730.551918936548
Udupi,Gram,Sprinkler Irrigation,13269.83042310602,12433.77780927833
Dharwad,Pulses,Sprinkler Irrigation,8443.310384900395,9215.982049058186
Bellary,Mustard,Drip Irrigation,13915.548102979274,14178.801091901783
Chitradurga,Cumin,Tube Well,12124.622960993804,11550.1443333464
Bangalore Urban,Garlic,Canal Irrigation,10546.981890410336,11544.43824043404
Bangalore Rural,Fennel,Sprinkler Irrigation,9864.564863409383,9311.178158658093
Mysore,Sugarcane,Sprinkler Irrigation,11408.142767529587,11428.96675421716
Tumkur,Guava,Drip Irrigation,11797.271396413676,12493.23507662141
Belgaum,Fenugreek,Sprinkler Irrigation,12237.943642439866,11518.68502775404
